Variant,Draft,Beam,Water,Fuel,Cabins,Displacement
Malo 40 classic,7.296,14.51,389.86857142857144,167.87142857142857,3.0,30818.428571428572
Malo 40 Classic MK Il,7.194,13.765,328.80285714285714,143.80714285714288,3.0,31233.714285714286
Malo 43 Classic,7.0920000000000005,13.02,267.7371428571429,119.74285714285715,3.0,31649.0
Malo 46,6.99,13.52,206.67142857142858,95.67857142857143,3.0,32064.285714285714
Maxi 1200,7.1850000000000005,12.995000000000001,145.60571428571427,71.61428571428573,3.0,32479.571428571428
Maxi 1300,7.38,12.47,84.54,47.55,3.0,32894.857142857145
Moody 45 Classic,6.9399999999999995,13.695,147.94,103.025,2.6666666666666665,33310.142857142855
Moody 45 DS,6.5,14.92,211.34,158.5,2.3333333333333335,33725.42857142857
Moody 45 DS e,6.54,14.67,175.17000000000002,167.25,2.0,34140.71428571429
Moody 49,6.58,14.42,139.0,176.0,1.6666666666666667,34556.0
Moody 54,7.5,15.92,252.0,180.0,1.3333333333333335,44132.0
Morris M42,5.75,11.25,50.0,40.0,1.0,42893.5
Morris M42X,5.79,12.54,85.0,320.0,1.5,41655.0
Morris Ocean Series 48,5.83,13.83,120.0,600.0,2.0,40416.5
